date,review,rating
25.05.02.,디자인이 이뻐요 밀폐력이 좋아요,5
25.05.01.,"고급져보입니다
너무 좋아요",5
25.04.30.,마음에 쏙 듭니다. 좋아요,5
25.04.27.,엎질렀는데 생각보다 잘 안세요,5
25.04.23.,좋아보입니다 잘 쓸게요,5
25.04.23.,원래 사용하던 제품이었고 이번이 두번째 구매입니다. 늘 만족하면서 사용하고 있습니다. :),5
25.02.27.,아들 학교가면 쓰려고 구매 했는데 사진으로 보고는 별로라고 하더니 텀블러 받아서 보고는 이쁘다고 하네요. 기숙사 생활하니 혼자서 텀블러 입구 좁은 제품은 세척이 힘들어 손잡이 있고 입구 넓은 제품으로 선택했는데 대만족입니다. 큰애가 보더니 자기도 텀블러 이쁘다고 같은걸로 달라고 하네요.,5
25.04.19.,입대하는 아들 위해 샀어요.,5
25.04.11.,배송도 좋았고 디자인이 마음에 드네요,5
25.05.03.,가성비 좋고 실용적입니다,5
25.04.12.,"아주 잘 사용하고 있어요
뚜껑 빨대부분 열기가 조금 힘들지만
계속열다보니 요령이생겨서요
양도 많이들어가구요",5
25.04.25.,디자인도 이쁘고 좋네요,5
25.03.16.,"무게감은 조금 있는데 보온성 보냉성은 우수한편인거 같습니다. 제품 디자인도 마음에 들고요.
 가성비 제품으로 훌륭한 선택 같습니다.",4
25.03.31.,약간 무게감은 있는데 튼튼하고 좋아요,5
25.04.30.,잘쓰고있습니다~~~,5
25.03.21.,연마제도 얼마 안나오고. 밀폐력이 최고입니다.,5
25.03.19.,빠른배송 감사합니다,5
25.03.18.,텀블러가 튼튼해보이고 좋아요 사용하기 편하네요 무광 디자인도 좋아요,5
25.03.28.,시원하게 커피를 하루종일 마실 수 있어 좋네요,5
25.03.03.,"오랜만에 주문했는데.
좋은 가격이네요~~",5
25.03.22.,"운전할때도 편안하게
가지고 다니네요",4
25.02.27.,디자인 실용성 다만족 힙니다,5
25.03.20.,전체적으로 괜찮아요,5
25.03.15.,잘 받았습니다. 무난하게 쓰기좋네요,5
25.03.14.,배송이 빨라서 좋아요,5
25.03.11.,화면보다 이쁘고 좋아요,5
25.03.08.,아아 넣었는데 오래가요~~~!!!,5
25.02.03.,"사이즈도 크고 저렴해서
만족합니다",5
25.01.18.,"용량이며 손잡이 디자인 다 마음에 들어요
저렴하게 잘산거같아요",5
25.01.17.,"배송도 빠르게 왔어요!
내구성이라든가 아주 좋네요",5
25.01.15.,"뚜껑을 돌려서 여는 점이 다소 불편합니다만
품질면이나 가격면에 이 가격에? 탄복할만합니다.",5
25.03.09.,저렴저렴~그냥그냥그냥~,4
24.12.15.,저렴한 가격에 좋은 텀블러를 구매한 것 같습니다 물새지 않는 텀블러를 찾고 있었는데 밀폐가 돼서 마음에 들었고 손잡이가 있는 것도 좋네요 용량이 조금 더 크면 좋았겠지만 가성비가 좋아 만족합니다,5
25.01.15.,뚜껑에서 미세하게 플라스틱 냄새가 났는데 그거 빼고는 다 좋았어요,5
24.12.18.,"손잡이 텀블러가 필요해서 샀어요
밀폐력은 하나는 괜찮은데 하나는 아무리 꽉 잠궈도 물이 새네요ㅠㅠ뚜껑 복불복인가",5
25.01.11.,음료의 냉온 오래 지속되어 좋았고 가격도 합리적이라 마음에듭니다 많이 파세요,5
24.12.07.,완전 밀폐되는 텀블러를 찾고있었는데 딱이에요 마시는 부분 뚜껑 여는게 좀 빡빡하긴한데 밀폐가 잘된다는점에선 호감이네요,5
24.10.13.,몇년전에 구입 했던 빈플러스 텀플러인데 얼음이 잘 안 녹아서 성능 좋은 텀블러라 생각하며 사용하다가 오래 쓰기도 해서 이번에 주문하면서 남편 운동할때 쓸 손잡이 있는것도 같이 구입했는데 뚜껑이 잘 안 맞아서 불편해 하더라고요. 혹시나 뚜껑만 판매하는지 판매자님께 문의 드렸더니 바로 새로 보내주셔서 잘 사용하고 있어요.,5
24.10.31.,"씻어만 났어요
텀블러는 이뻐요
곧 쓸예정입니다 ^^",5
24.11.12.,만족도 최상입니다. 저렴한 가격에 사용하기도 편하고 아주 마음에 쏙 들어요!!,5
24.09.22.,"얼음이 오래 지속돼 만족하며 오랫동안 사용하다 기능이 다 된듯하여 텀블러 재주문하면서 운동할때
쓰려고 같이 주문했는데
구입하고 바로 사용을 못하고 시간이 지나 사용을 
해보니 뚜껑이 문제가 있어 뚜껑만 판매가 가능한지 문의 했더니 바로 새상품으로 재배송 해주셨어요. 
뚜껑 닫는게 전보다 수월하네요. 감사합니다.",5
24.10.12.,보기보다는 가볍고 손잡이가 있어서 편하네요,5
24.09.29.,오래전에 구입 했었는데 얼음이 오래가서 재구매했어요.,5
24.09.30.,얼음이 오래가서 좋아요,5
