date,review,rating
25.05.01.,"일단 진짜 안 새요! 혹시 몰라서 커피 가득 넣고 뒤집어 봤는데도 괜찮더라고요 디자인도 아주 예쁩니다~ 아주 조금 아쉬운 점이 있다면 좀 뚱뚱해서 백팩 옆 텀블러 공간에는 잘 안 들어가고, 그립감도 조금 아쉽습니다. 대신 입구가 넓다는 뜻이라 세척은 정말 편하게 할 수 있었어요. 손에 들고 다닐 용으로 구매한 건데 스트랩 대신 손잡이가 있었으면 들고다니기 좀 더 편했을 것 같습니다. 그래도 가격이 착한 편이라 잘 써보겠습니다~ :>",4
25.04.10.,"오늘 첫사용했답니다. (저 좀 별난 사람에 속합니다^^;;) 1. 용량: 처음엔 좀 크다?! 싶었는데 500ml 양이 넉넉해서 좋아요. 2. 무게 및 그립감: 크기가 있다보니 살짝 무거운 편이고 잡을 때 손 작은 사람은 손을 넓에 벌려야하네요. 3. 디자인 - 색상 정말 예쁘고 흔치 않아요. 물감 뿌린듯한 문양도 특이한데 표면이 오돌도돌해서 자세히 보면 징그럽지만(?!) ㅎㅎ 나름 덜 미끄리는 효과가 있네요. - 바닥에 미끄럼방지 처리 좋고, 입 닿는 부분의 섬세한 처리 감동입니다. 뚜껑닿고 마실 때는 뭉뚝한 빨대처럼 되어 마시긴 편한데 세척이 어떨지 모르겠네요^^;; - 손잡이 달린거 넘 좋아요. 들고 다니기 정말 편할듯요. 세척은 신경써야겠죠~ 4. 배송: 하루도 안되어 도착???? **사무실에서 커피 마실 때 기분 좋은 아이템이 생겼어요. 오늘 하루 대만족하며 사용했어요!!",5
25.02.15.,"세라믹 코팅이라 쇠맛이 안난다는 점과 디자인이 마음에 들어서 구매했는데 처음 받은 제품이 뚜껑의 밀폐마개를 열면 음료 마시는 구멍과 작고 동그란 고무(?) 있는 부분 근처로 균열과 흠집이 4군데나 보여서 교환을 했는데 다시 받은 제품도 똑같이 3군데에 균열이 있네요. 설마 그 제품을 다시 보낸건가 싶게 똑같은 위치(왼쪽,오른쪽,아래)에 균열이 있지만 자세히 보니 각도랑 위치가 미세하게 달라서 다른 제품이긴 한 것 같네요. 이 상품은 원래 다 그런 건가요? 그런거면 처음부터 원래 다 똑같은데 별문제 없으니 그냥 쓰라거나, 아니면, 다 그러니 반품해주겠다고 하셨으면 좋았을텐데 아무 연락도 없이 교환이 돼서 이번엔 안그런 제품으로 올 줄 알았습니다. 미세한 기스 같아 보여서 예민하지 않은 분은 별 상관 없을 수도 있지만 새 제품 주문해서 받았는데 흠집이 한군데도 아니고 네군데나 보여서 귀찮음을 무릅쓰고 교환했는데 또 세군데나 있다니 저는 실망입니다. 심한 균열은 아니고 또 교환하기 귀찮아서 그냥 쓸거지만 혹시라도 이것 때문에 뚜껑이 몇번 안쓰고 갈라진다든지 하면 컴플레인 드릴 수밖에 없을 것 같습니다. 그리고 처음 건 괜찮았는데 교환한 제품은 입구부분에 코팅도 살짝 벗겨져있네요. 점처럼 보이는 부분... 검수 좀 꼼꼼히 해주세요.. 그래도 제품 자체는 아직 사용해보지 않았지만 색깔도 모양도 예쁘고 컵 입구가 넓어 세척이 편할 것 같아 만족합니다. 뚜껑이 아무 문제도 일으키지 않길 바라며 일단 잘 써보겠습니다. -------------------------------- 많은 분들이 리뷰를 보시는 것 같아 한달 넘게 사용한 리뷰 추가합니다. 다행히도 위에 적었던 균열은 아무 문제를 일으키지 않고 있습니다. 뜨거운 물을 담고 닫아놓아도 특별히 갈라진다거나 깨지는 일이 없어서 잘 사용하고 있습니다. 그리고 코팅 벗겨진 부분도 제가 거의 뚜껑을 돌려닫지 않고 얹어만 놓고 쓰고있어서 그런지 몰라도 더 벗겨지지 않고 점처럼 보이는 상태가 유지되고 있어서 괜찮습니다. 지금은 위의 균열이나 코팅 벗겨진 부분은 거의 잊고지낼 정도로 별 문제가 되지 않으니 이부분 걱정하신 분들은 걱정 안하셔도 될 것 같아 별 4점으로 올립니다. 다만 쓰다보니 뚜껑의 마시는 입구 부분이 좁아서 세척이 귀찮네요. 저는 그래서 거의 뚜껑입구로 안 마시고 뚜껑은 식지않게 얹어두기만 하고 마실땐 뚜껑 들고 텀블러에 바로 입 대고 마십니다. 그것만 빼면 쇠맛도 안나고 보온도 잘되고 디자인도 예쁘고 이동할때 뚜껑 제대로 닫으면 새지도 않아서 아주 만족하며 쓰고 있습니다. 리뷰 보시는 분들 참고하시기 바랍니다.",4
25.05.02.,"한 손으로 쥐기는 좀 크고 무거워요.. 따뜻한 차 우려서 들고 다니면서 차에 두고 마시려고 했는데 차 음료 꽂는 데 넣을 수 있을지는 잘 모르겠네요; 무광 블랙이라 예쁘고, 스트랩 있어서 편해요! 그리고 무엇보다 일반 텀블러처럼 쇠맛이 전혀 나지 않아서 차 좋아하는 사람으로서 너무 좋아요????",5
25.05.05.,"색상예쁘고 사이즈도 좋아요. 안에도 세라믹 코팅이 되어있어서 세척,냄새 모두좋습니다. 근데 컵 바깥에 색상 코팅?이 균일하지는 않네요. 약간 b급같지만 그냥사용할게요.",3
25.05.04.,뒤집어도 하나도 안새서 너무 좋아요!! 용량도 적당하고 디자인도 예뻐서 맨날 사용해요!! 미끄럼방지도 있어서 절대 안넘어져요!,5
25.04.20.,"왐마! 보냉은 성능짱이네여!!(보온은 모르겠음다)빅아이스볼 두개랑 잔잔하거 가득넣어서 오전9시쯤 라떼만들어 먹고 중간중간 물 보충해 먹었는데 오후11시에도 얼음이 1/3쯤 남아 있어요!! 작은 얼음만 넣었을땐 이렇게 오래 안 갔지만, 기존 쓰던 스벅텀블러보단 오래갔어요. 시원함이 오래가길 원하시면 빅아이스볼 넣어보세요.",5
25.04.14.,기존에 머그 텀블러 사용중이었는데 물도 안 새고 보온 유지도 잘되는거 같아 이번엔 다른 모델 구입해봤어요. 텀블러는 빠르게 잘 도착했고 디자인도 심플하니 마음에 들어요. 한가지 아쉬운건 택배 이동중 엄청 굴러다닐텐데 완충제를 같이 넣어주면 좋을것 같아요.,5
25.02.02.,"스탠리 스트로우 텀블러 877ml 이용 중에 작은 디테일이나 휴대성 측면에서 불편함을 느껴 구매하게 됐습니다. 기존 텀블러 사용시 불편을 느꼈던 지점은 - 세척의 번거로움 (하단까지 꼼꼼히 씻으려면 별도의 도구 필요) - 압도적인 크기만큼 압도적인 무게 - 완전 밀폐가 되지 않아 외출시 휴대가 꺼려짐 - 비싼 가격에도 불구하고 디테일이 조금 부족함. (밀폐, 컵 하단 실리콘 패킹 등) 텀블러 구매 시 고려했던 사항으로는 1. 완전 밀폐 (새지 않는 텀블러) 2. 텀블러 하단 실리콘 (내려 놓을 때 소리가 나지 않는) 3. 별도의 도구 없이 세척이 가능한 넓이 위 세 조건에 부합하는 텀블러를 찾다 발견해 구매했습니다. 장점 1. 뚜껑 -트라이탄 소재라 안심할 수 있음 -밀폐력이 좋아 액체를 가득 넣고 흔들어도 새지 않음 -입구(액체가 나오는 부분)이 좁지만 공기 구멍이 있어 음용에 있어 액체가 왈칵 쏟아지거나 답답하게 나오는 경우가 없음 -구성품인 스트랩 부착 후 사용시 손이 부족할 때에도 편하게 들고 다닐 수 있음 2. 본체 (컵) - 보냉이 잘 됨 (보온은 테스트 해보지 않았음) - 내부 세라믹 코팅으로 일반 스탠 텀블러와 비교 했을때 색 베임, 냄새 베임, 세척 등 여러 부분에서 퀄리티의 차이가 느껴짐 - 입구가 넓고 안으로 갈 수록 좁아지지 않아 손을 넣어 안까지 세척가능 - 해당 제품보다 작은 사이즈의 텀블러(타사제품)와 비교했을때 압도적으로 가벼운 무게 - 500ml 사이즈 지만 손이 작은 여성에게도 그립감이 좋음 - 하단부 실리콘 덕분에 유리 테이블에 올려 둘 때도 쨍한 소음이 들리지 않음. 단점 - 세척시 스트랩을 매번 끼웠다 뺐다 해줘야하는 번거로움 (물에 잘 젖지 않거나 빨리 마르는 소재였다면 더 좋지 않았을까.) - 차가운 음료를 담을때 텀블러 외부가 차가워지는 느낌을 받음 (뜨거운 음료를 담을때 조금 곤란하지 않을까.) 휴대용으로 자주 손이 갈 것 같고, 기존 스탠리 텀블러는 집에서 물 마실때나 이용 할 것 같습니다. 만족도 4.5/5 한달 정도 더 사용해보면 명확해 질 것 같습니다.",5
25.04.24.,라떼를 기본 텀블러에 담아 먹으니 아쉬웠어요. 요상품 딱인 것 같아 구입해봤어요. 돌려잠그는 뚜껑이라 밀폐력 좋고 손잡이 끈도 달 수 있어서 좋아요. 스텐 아니라 더 마음에 들어요.,5
