date,review,rating
25.04.28.,잘 쓰고 있어요. 아이보리인데 은은한 옐로우 색상이어서 좋아요. 빨대는 괜찮은데 생각보다 안 들고 다니게 되네요. 아마 아이스 음료 많이 마시기 시작하면 또 잘 들고 다닐거 같아요. 컵뚜껑 닫아놔도 약간 새는 부분 있기는 해요. 그래도 잘 쓰고 다니고 있음,5
25.04.24.,"되게 생각해서 꼼꼼하게 만든 제품이란게 느껴지는 텀블러??  손잡이가 없어서 미끄럽지 않을까 걱정했거든요,  위에 실리콘 링이 있어 안정감있는 그립감 마음에 들구요~ 그리고 전체 펼쳐지는 실리콘 스트로우 너무 신박해요 ㅎ 절~대 안세네요 !
노리짱한 아이보리 이쁘구~  린넨 슬리브도 넘나 맘에들어요  모슈 입덕 했어요 :)",5
25.04.30.,귀엽고 좋은데.. 살짝 떨어트렸는데 겉칠이 좀 벗겨지기는 하더라구요. 그리고 빨대 사용전후가 아무래도 번거로워서 잘 사용 안하게 되어요. 립스틱 묻은걸 다시 말아서 꽂아두면 세척도 어렵고해서 그냥 쓰게 됩니다. 가끔 한번씩은 많이는 아니지만 샐때도 있어요.,3
25.04.21.,원래 스탠리를 쓰다가 밀폐되는 텀블러가 필요해서 구매했습니다. 빨대가 열려서 세척이 용이하고 뚜껑 부위에 끼울 수 있어서 편리합니다. 다만 물을 많이 마시는 분들은 더 큰 용량을 구매하시기를 추천드립니다. 400ml는 약간 작은 느낌이 있습니다. 디자인도 귀엽고 논슬립 처리가 되어 있어 미끄러지지 않아 편리합니다.,5
25.05.04.,"보온 보냉 완벽하고 스트로우도 세척 편리합나다.
텀블러도 손이 쑥 들어가니 세척편리하구요.
디자인까지 예뻐서 좋아요.",5
25.04.05.,"전체적으로 그냥 너무 예뻐요 색이 생각보다 좀 진한 핑크긴 한데 그래도 예쁜 거 같아요
장점은 생각보다 가볍고 물이 하나도 안새요 그리고 무엇보다 설거지하기 좋아요
아주 조금 아쉬운 건 빨대를 꽂은 상태에서 뚜껑이 안 닫혀요(실리콘이라 접어서 넣으면 될 줄 알았는데 안돼요)
텀블러 유목민이었는데 이제 정착했습니다 정말 좋아요",5
25.05.02.,홈쇼핑보고 찾아서 샀어요 세지않는 텀블러라 맘에들어요 보온성도 좋습니다 탄탄하게 잘만듣거같아요  빨대가 구성품에 포함되있어서 좋습니다,5
25.05.01.,500ml 안되는사이즈라 작을까싶었는데 들고 다니기엔 오히려 이게 딱 좋아요! 같이 샀던 파우치 사진입니다~,5
25.05.03.,머그컵만쓰다가 얼음 녹으면 컵에 물생기는게 넘스트레스라 구매하였는데 너무 예뻐요 그리고 너무 가볍고 밀폐도 잘되는거 같아요,5
25.04.20.,"유튜브 보고 충동구매 해버렸는데
막 그렇게 맘에 들진 않아요
빨대가 실리콘이라 편한것 같으면서도 뭔가 좀 불편하고
손으로 들고 다니기에는 좀 뚱뚱한 디자인이더라고요
그냥 스벅꺼 살걸...
충동구매한 제 잘못이겠지만
그래도 오래 써보겠습니다!",4
25.04.16.,회사에서 쓰려고 샀는데 아주 잘 쓰고 있습니다. 특히 빨대가 신세계예요 새지 않을까 싶었는데 지금까지 한번도 새지 않고 편하게 아주 잘 쓰고 있습니다. 위생 걱정 없는 다회용 빨대 처음이라 너무 마음에 들어요. 디자인도 동글동글해서 책상 위에 두면 보기만 해도 기분이 좋아집니다.,5
25.04.16.,너무나도 귀여운 디자인 ㅎㅎ 옐로 색감이 너무 예뻐요 병아리 노랑~ 화이트도 예뻐요!! 내용물이 안새는지는 테스트 안해봐서 잘모르겠고 빨대없이 마실때 쫄쫄쫄 나와서 약간의 답답함을 느낍니다??,4
25.04.16.,너무나도 귀여운 디자인 ㅎㅎ 옐로 색감이 너무 예뻐요 병아리 노랑~ 화이트도 예뻐요!! 내용물이 안새는지는 테스트 안해봐서 잘모르겠고 빨대없이 마실때 쫄쫄쫄 나와서 약간의 답답함을 느낍니다??,4
25.04.23.,보온보냉력은 이미 보장되어있고 용량이 딱 원하던 사이즈입니다. 빨대 꽂아서 먹을수도 있어서 편하고 요즘 카페 갈때 항상 챙겨가며 애용중입니다,5
25.04.30.,"선물한거라 만족스럽다고는 하는데  
잘  모르겠어요
얼음  큰거  넣을수  있어서  좋은거  같아요",5
25.04.12.,동생 생일선물로 샀는데 마음에 들어해서 만족합니다! 빨대도 있지만 빨대 없이도 편하게 마실 수 있고 바닥 고무가 있는 제품을 원했는데 괜찮은 것 같네요ㅎㅎ,5
25.05.04.,아들 딸드에게 선물해줬는데 모두 좋아하니 저도 아주 좋았어요,5
25.04.30.,"색상 크기 마음에 들어요
온도도 적당하게 오래 갑니다",5
