date,review,rating
25.04.16.,"이번에 네이버 스토어로 바꾸면서 스탠리 텀블러 이때다! 싶게 많이 주문하게 되네요. 
남동생이 조금 작은 사이즈의 텀블러도 하나 더 필요하다고 해서 지난번 887ml 사이즈에 이어 591ml 사이즈 텀블러 구입하려고 다시 들르게 되었습니다. 
네이버 내일 배송답게 주문한 바로 다음날 물건 바로 수령했다고 남동생한테 감사 인사받았네요. 확실히 지난번 큰 사이즈의 제품보다는 휴대성이 더 좋다고 오히려 이 사이즈를 오다가다 더 사용할 수도 있을 거 같다고 색도 아주 맘에 든다고 만족의 문자를 받았습니다. 
저 또한 지난번 주문한 887ml 사이즈 사무실에서 아주 매일같이 잘 사용하고 있네요. 다음날까지 얼음이 녹지 않은 것을 보고 역시 스탠리 텀블러의 기능은 짱! 임을 다시 한번 깨닫게 되었네요. 
네이버 통해서 좋은 제품 다른 곳보다도 저렴하게 그리고 빠르게 구입할 수 있어서 참으로 감사드립니다!!",5
25.04.28.,일단 이쁘고 배송이 엄청 빠름! 스탠리 작년에 첫 구매했었는데 한여름에도 다음날 지나도 얼음이 안 녹고 그대로 있어서 역시 비싼 값 주고 살만하다고 왕왕 느꼈음요 벌써 3개째 구매네요 이번에 작은 거 사고 싶어서 구매했어요 손잡이가 있었으면 좋겠지만?? 빨대 있는 걸 선호해서 이걸로 구매했어요,5
25.04.27.,시폼 선물 받아서 잘 쓰는 중인데 하나 더 필요해서 구매했어요. 색깔 상큼하고 시원해 보이고 예뻐요! 쨍한 촌스러운 레몬색 아니고 파스텔톤의 레몬색이에요! 실물과 비슷하게 보정했습니다. 보냉 짱짱하고 가볍고 연마제도 하나도 안 나왔어요!,5
25.05.02.,"하도 사람들이 스탠리 스탠리 하길래 함 사봤는데
좋네요 ^^.. 색은 실물이 더 이쁘고요 아침에 출근길에 테이크아웃해서 먹는데 오후 시간인데도 얼음 안 녹고 그대로네요 좋습니다!!!! 고민 말고 구매 고고링 하세요~",5
25.04.27.,생각보다도 더 핑크 핑크 느낌이에요ㅋㅋ 색깔 귀여워요! 그런데 정말 좀 무겁긴 한 듯ㅎ 그래도 예쁘니까 괜찮아요 야무지게 써야지,5
25.04.25.,디자인이 이쁘네요 묵직하고 좋아요,5
25.04.20.,"사이즈 고민 많이 했는데 591이 휴대하기에도 좋고, 손잡이 없는 것도 생각보다 많이 안 불편해요!
무엇보다 전에 쓰던 텀블러가 차량 컵홀더에 안 맞아서 이거 산 건데 쏙쏙 들어가니 너무 좋네요ㅎㅎ 피오니 색상도 너무 예뻐요<3",5
25.04.24.,"유명해서 소문 듣고 구매합니다. 아직 세척 중이라 보온, 보냉 효과가 얼마나 좋은지는 모르겠지만... 색깔은 예쁘네요.. 평소 워낙 큰 텀블러를 써서 무겁다는 느낌은 없고요.. 휴대용으로 사용하려고 용량 작은 걸로 선택했어요.. 올여름 잘 사용할 것 같아요!",5
25.04.12.,"포장 꼼꼼히 잘 돼서 왔고요, 완전 밀폐형은 아니지만 빨대가 있어 편해서 물을 더 많이 마셔야겠어요!
보냉 보온 기능도 잘되고 색상도 실물이 더 이뻐요.",5
25.04.26.,딸아이가 들고 다니다고 주문했어요. 핑크 공주라 핑크 맘에 들어요 잘 사용할게요,5
25.04.09.,"큰 텀블러를 사용 중이라서 선물용으로 구매했습니다. 살짝 무게감은 있지만 색감도 예쁘고 기능도 최고라고 생각합니다! 가격대는 텀블러치고 있지만 오래 쓴다고 생각하면 아깝지 않아요! 추천합니다! 큰 텀블러는 물을 많이 먹을 수 있어서 좋지만 물을 많이 먹는 사람이 아니라면 작은 텀블러 추천드려요!!
",5
25.05.02.,제품 받았는데 제품에 스크래치가 있어요 문의했더니 불량은 아니라네요.. cs 응대가 불친절하고 너무 별로예요.. 교환받기 귀찮아서 그냥 씁니다,1
