Unnamed: 0,date,review,rating,tokens
0,25.05.02.,디자인이 이뻐요 밀폐력이 좋아요,5,"['디자인', '이쁘다', '밀폐', '좋다']"
1,25.05.01.,"고급져보입니다
너무 좋아요",5,"['고급', '지다', '보이다', '좋다']"
2,25.04.30.,마음에 쏙 듭니다. 좋아요,5,"['마음', '쏙', '듭니', '좋다']"
3,25.04.27.,엎질렀는데 생각보다 잘 안세요,5,"['엎', '지르다', '생각', '자다', '알다']"
4,25.04.23.,좋아보입니다 잘 쓸게요,5,"['좋다', '보이다', '자다', '쓸다']"
5,25.04.23.,원래 사용하던 제품이었고 이번이 두번째 구매입니다. 늘 만족하면서 사용하고 있습니다. :),5,"['원래', '사용', '제품', '두번째', '구매', '늘', '만족하다', '사용']"
6,25.02.27.,아들 학교가면 쓰려고 구매 했는데 사진으로 보고는 별로라고 하더니 텀블러 받아서 보고는 이쁘다고 하네요. 기숙사 생활하니 혼자서 텀블러 입구 좁은 제품은 세척이 힘들어 손잡이 있고 입구 넓은 제품으로 선택했는데 대만족입니다. 큰애가 보더니 자기도 텀블러 이쁘다고 같은걸로 달라고 하네요.,5,"['아들', '학교', '가면', '쓰다', '구매', '사진', '보고', '별로', '텀블러', '받다', '보고', '이쁘다', '기숙사', '생활', '텀블러', '입구', '좁다', '제품', '세척', '힘들다', '손잡이', '입구', '넓다', '제품', '선택', '대', '만족', '크다', '애가', '보더', '텀블러', '이쁘다', '달라']"
7,25.04.19.,입대하는 아들 위해 샀어요.,5,"['입대', '아들', '위해', '사다']"
8,25.04.11.,배송도 좋았고 디자인이 마음에 드네요,5,"['배송', '좋다', '디자인', '마음', '드네']"
9,25.05.03.,가성비 좋고 실용적입니다,5,"['가성', '가성비', '좋다', '실용']"
10,25.04.12.,"아주 잘 사용하고 있어요
뚜껑 빨대부분 열기가 조금 힘들지만
계속열다보니 요령이생겨서요
양도 많이들어가구요",5,"['아주', '자다', '사용', '뚜껑', '빨대', '부분', '열기', '힘들다', '계속', '열다', '보다', '요령', '생기다', '양도', '들어가다']"
11,25.04.25.,디자인도 이쁘고 좋네요,5,"['디자인', '이쁘다', '좋다']"
12,25.03.16.,"무게감은 조금 있는데 보온성 보냉성은 우수한편인거 같습니다. 제품 디자인도 마음에 들고요.
 가성비 제품으로 훌륭한 선택 같습니다.",4,"['무게', '감다', '보온', '보냉', '성은', '우수', '한편', '제품', '디자인', '마음', '들다', '가성', '비', '제품', '훌륭하다', '선택']"
13,25.03.31.,약간 무게감은 있는데 튼튼하고 좋아요,5,"['무게', '감다', '튼튼하다', '좋다']"
14,25.04.30.,잘쓰고있습니다~~~,5,['잘쓰다']
15,25.03.21.,연마제도 얼마 안나오고. 밀폐력이 최고입니다.,5,"['연마', '제도', '나오다', '밀폐', '최고']"
16,25.03.19.,빠른배송 감사합니다,5,"['빠르다', '배송', '감사하다']"
17,25.03.18.,텀블러가 튼튼해보이고 좋아요 사용하기 편하네요 무광 디자인도 좋아요,5,"['텀블러', '튼튼하다', '보이', '좋다', '사용', '편하다', '무광', '디자인', '좋다']"
18,25.03.28.,시원하게 커피를 하루종일 마실 수 있어 좋네요,5,"['시원하다', '커피', '하루', '종일', '말다', '좋다']"
19,25.03.03.,"오랜만에 주문했는데.
좋은 가격이네요~~",5,"['오랜', '오랜만', '주문', '좋다', '가격']"
21,25.03.22.,"운전할때도 편안하게
가지고 다니네요",4,"['운전', '편안하다', '가지', '다니다']"
22,25.02.27.,디자인 실용성 다만족 힙니다,5,"['디자인', '실용', '족', '힙니']"
