Unnamed: 0,review,tokens
0,데이오프 텀블러 이전 모델 사용 시 뚜껑이 가끔 잘 안 물려서 물이 새곤 했었어요 뚜껑이 리뉴얼 돼서 잠길 때 더 부드럽게 잠기고 어긋나게 물림이 보완됐네요 500미리짜리라 활용도도 높고  손잡이는 사용 내내 편안함을 느낍니다 다른 색으로 하나 더 구매하고 싶어요,"['데이', '데이오프', '텀블러', '이전', '모델', '사용', '시', '뚜껑', '가끔', '자다', '안', '물리다', '물이', '새다', '뚜껑', '리뉴얼', '잠기다', '더', '부드럽다', '잠기', '어긋나게', '물리다', '보완', '미리', '활용', '도도', '높다', '손잡이', '사용', '내내', '편안함', '느끼다', '색', '더', '구매']"
1,고급스럽고 좋습니다 안에서 철 냄새도 안 나서 좋아요 들고 다니기에도 매우 편해서 만족합니다,"['고급스럽다', '좋다', '안', '철', '냄새', '안', '나서다', '좋다', '들다', '다니다', '기', '매우', '편하다', '만족하다']"
2,가볍고 색도 이뻐요 베이지색이 좀 어두운색이고 이외는 사진이랑 같은 거 같아요 입이 닿는 곳도 스테인리스강이었으면 더 좋을 텐데 플라스틱이 닿아서 살짝 아쉬워요 저는 중간에 음료 새지 말 라고 있는 게 청소도 그렇고 되레 없었으면 좋겠다 생각이 되네요 뜨거운 음료에 플라스틱 부분이 닿으면 아무래도 좋지 않을듯해요,"['가볍다', '색도', '이쁘다', '베이지색', '어두운색', '이외', '사진', '입', '닿다', '곳도', '스테인리스강', '더', '좋다', '플라스틱', '닿다', '살짝', '아쉽다', '중간', '음료', '새다', '말', '청소', '그렇다', '되레', '없다', '좋다', '생각', '뜨겁다', '음료', '플라스틱', '부분', '닿다', '좋다', '않다']"
3,대학생 아들 가끔 방학 중 동아리활동 때 물을 갖고 가는 게 편하다 해 들려 보냅니다 고딩땨 쓰던 낡은 텀블러 정리이고 새로 갈아탔어요 색상 고민 만 있는데 마음에 쏙 듭니다,"['대학생', '아들', '가끔', '방학', '동아리활동', '물', '갖다', '편하다', '들다', '보내다', '고딩', '땨', '쓰다', '낡다', '텀블러', '정리', '새롭다', '갈아타다', '색상', '고민', '만', '마음', '쏙', '듭니']"
4,귀엽고 이뻐요 스탠리 제품과 고민하다 일본 제품이라 더 믿음이 가서 구매요,"['귀엽다', '이쁘다', '스탠리', '제품', '고민', '일본', '제품', '더', '믿음', '구매']"
5,기존에 쓰던 게 너무 좋아서 아들 학교 물통으로 구매했어요 색깔이 더 많음 좋겠는데 아들이 다크 그레이 선택했어요 ㅋㅋ 근데 이 텀블러 손잡이가 있어서 은근 편하고 이용구가 스테인리스 이 아니라서 좋고요 얼음을 넣어도 빨대 안 쓰고 마실 수 있고 음료도 한 번에 많이 안 나와서 좋아요 식사 기도 쓰지 말라고 되어 있긴 한데 저는 신세기 써도 괜찮더라고요 너무  잘 쓰고 있어요 담에도 또 주문할 것 같아요,"['기존', '쓰다', '좋다', '아들', '학교', '물통', '구매', '색깔', '더', '많다', '좋다', '아들', '다크', '그레이', '선택', '텀블러', '손잡이', '은근', '편하다', '이용구', '스테인리스', '아니다', '좋다', '얼음', '넣다', '빨대', '안', '쓰다', '말다', '음료', '번', '안', '나오다', '좋다', '식사', '기도', '쓰다', '말', '신세기', '써다', '괜찮다', '자다', '쓰다', '담', '주문']"
6,킨토 텀블러 가볍고 휴대하기도 좋아서 하나 더 구입했어요   맘에 듭니다 ,"['킨토', '텀블러', '가볍다', '휴대', '좋다', '더', '구입', '맘', '듭니']"
7,화이트 재입고 되어서 잘 구매했습니다  킨토 제품 좋은 가격에 판매해 주셔서 좋아요,"['화이트', '재', '입다', '자다', '구매', '킨토', '제품', '좋다', '가격', '판매', '주다', '좋다']"
8,배송도 빠르고 포장 잘 되어서 잘 왔어요 텀블러 예뻐요,"['배송', '빠르다', '포장', '자다', '자다', '오다', '텀블러', '예쁘다']"
9,깔끔하고 입구가 커서 좋아요  세척도 비교적 편한 편입니다,"['깔끔하다', '입구', '커서', '좋다', '세척', '비교', '편하다', '편입', '니']"
10,다른 곳과 비교해서 제일 저렴한 곳을 찾아서 주문했어요 킨토 텀블러는 뭐 말해 입 아프죠 휘뚤마뚤 잘 들고 댕깁니다 얼음도 진짜 안 녹아요 가족들 꺼도 조만간 새로 사려고요,"['곳', '비교', '제일', '저렴하다', '곳', '찾다', '주문', '킨토', '텀블러', '뭐', '말', '입', '아프다', '휘뚤마뚤', '자다', '들다', '댕', '얼음', '진짜', '안', '녹다', '가족', '끄다', '조만간', '새롭다', '사다']"
11,빠른 배송 감사합니다,"['빠르다', '배송', '감사하다']"
12,디자인은 심플하고 좋은데 씻기 불편하네요,"['디자인', '심플', '좋다', '씻다', '불편하다']"
13,3년 내내 잘 써서 새로 샀어요 손잡이 있어서 너무 편하고 용량이 커서 좋아요,"['내내', '자다', '써다', '새롭다', '사다', '손잡이', '편하다', '용량', '커서', '좋다']"
14,그냥 무난하게 쓰기 좋아요,"['그냥', '무난', '쓰기', '좋다']"
15,가벼워 휴대 용이하고요  설거지하면서 스크래치 날 걱정 없는 소재이고 특히 여성분들 립스틱 자국 뚜껑 닫으면 다 가려집니다 진짜 신세계 텀블러 이걸루 정착할 것 같 아요,"['가볍다', '휴대', '용이하다', '설거지', '스크래치', '날', '걱정', '없다', '소재', '여성', '립스틱', '자국', '뚜껑', '닫다', '가려지다', '진짜', '신세계', '텀블러', '이걸루', '정착']"
