Unnamed: 0,date,review,rating,tokens
0,25.03.23.,편하게 쓰기 좋을거 같아요~~,5,"['편하다', '쓰기', '좋다']"
1,25.02.27.,살짝 미세 스크레치가 보여요. 그래도 가성비 훌륭한 좋은 제품입니다.,5,"['살짝', '미세', '스크레치', '보이다', '가성', '비', '훌륭하다', '좋다', '제품']"
2,25.02.10.,원하는 색상이 품절이라 골드 선택했는데 너무 예쁘네요. 구조가 심플하고 가벼워 휴대하기 좋아요!,5,"['원하다', '색상', '품절', '골드', '선택', '예쁘다', '구조', '심플', '가볍다', '휴대', '좋다']"
3,25.02.27.,마음에 들어 추가 구매합니다.,5,"['마음', '들다', '추가', '구매']"
4,25.03.07.,잘쓰고 있어요 보온잘되여,5,"['잘쓰다', '보온']"
5,24.12.10.,많은 일이 있었지만 안전하게 배송 해주셔서 진심으로 감사드립니다. ^.^,5,"['많다', '일이', '안전하다', '배송', '해주다', '진심', '감사', '드리다']"
6,24.11.18.,크기에 비해 엄청 많이들어가요 이 사이즈 다른 텀블러는 벤티 사이즈 음료 못넣는대 이건 너끈함,5,"['크기', '비다', '들어가다', '사이즈', '텀블러', '베다', '티', '사이즈', '음료', '넣다', '이건', '끈함']"
7,24.10.16.,다른 텀블러에 비해 용량 크고 가볍고 심지어 보냉기능까지 완벽한건 이게 최고에요! 닳을때까지 쓰고 또 주문해서 써요 ㅎㅎ,5,"['텀블러', '비다', '용량', '크다', '가볍다', '보냉', '기능', '완벽하다', '최고', '닳다', '쓰다', '주문', '써다']"
8,24.11.18.,아이 학교다닐때 쓰려고 구입했습니다 맘에 들어요~,5,"['학교', '다니다', '쓰다', '구입', '맘', '들다']"
9,24.10.28.,잘 받았습니다. 감사합니다.,4,"['자다', '받다', '감사하다']"
10,24.09.26.,좋아서 계속 재구해 해서 써요,5,"['좋다', '계속', '재다', '써다']"
11,24.08.06.,"결로 안 생기고, 그립감, 용량 좋고, 가격도 너무 좋은데,
실버 주문 했는데 화이트가 왔습니다 ㅠ
귀찮아서 그냥 쓸게요.",4,"['결', '안', '생기', '그리다', '감', '용량', '좋다', '가격', '좋다', '실버', '주문', '화이트', '오다', '귀찮다', '그냥', '쓸다']"
12,24.08.07.,"친구추천으로 구입했어요 
밀패도 잘되고 큰얼음 넣기도 좋고 씻기도 좋네요",5,"['친구', '추천', '구입', '밀패', '크다', '얼음', '넣기', '좋다', '씻다', '좋다']"
13,24.08.19.,딱 마음에 들어요 !,5,"['마음', '들다']"
14,24.07.24.,몇년전에 구매해서 썼는데 보냉기능이 너무좋아서 또 구매했어요 받자마자 연마제 세척해서 잘쓰는중입니다,5,"['년전', '구매', '써다', '보', '냉기', '능이', '좋다', '구매', '받다', '연', '마제', '세척', '잘쓰다']"
15,24.08.07.,친구추천으로 구입했어요,5,"['친구', '추천', '구입']"
