Unnamed: 0,date,review,rating,tokens
0,25.04.28.,잘 쓰고 있어요. 아이보리인데 은은한 옐로우 색상이어서 좋아요. 빨대는 괜찮은데 생각보다 안 들고 다니게 되네요. 아마 아이스 음료 많이 마시기 시작하면 또 잘 들고 다닐거 같아요. 컵뚜껑 닫아놔도 약간 새는 부분 있기는 해요. 그래도 잘 쓰고 다니고 있음,5,"['자다', '쓰다', '아이보리', '은은하다', '옐로우', '색상', '좋다', '빨대', '괜찮다', '생각', '안', '들다', '다니다', '아마', '아이스', '음료', '마시기', '시작', '자다', '들다', '다니다', '컵', '뚜껑', '닫다', '놓다', '새다', '부분', '자다', '쓰다', '다니다']"
1,25.04.24.,"되게 생각해서 꼼꼼하게 만든 제품이란게 느껴지는 텀블러??  손잡이가 없어서 미끄럽지 않을까 걱정했거든요,  위에 실리콘 링이 있어 안정감있는 그립감 마음에 들구요~ 그리고 전체 펼쳐지는 실리콘 스트로우 너무 신박해요 ㅎ 절~대 안세네요 !
노리짱한 아이보리 이쁘구~  린넨 슬리브도 넘나 맘에들어요  모슈 입덕 했어요 :)",5,"['생각', '꼼꼼하다', '만들다', '제품', '이란', '느껴지다', '텀블러', '손잡이', '없다', '미끄럽다', '않다', '걱정', '실리콘', '링', '안정감', '그리다', '감', '마음', '들다', '전체', '펼쳐지다', '실리콘', '스트로우', '신', '박해', '절대', '알다', '노리', '아이보리', '이쁘다', '린넨', '슬리브', '맘', '들다', '모슈', '입덕']"
2,25.04.30.,귀엽고 좋은데.. 살짝 떨어트렸는데 겉칠이 좀 벗겨지기는 하더라구요. 그리고 빨대 사용전후가 아무래도 번거로워서 잘 사용 안하게 되어요. 립스틱 묻은걸 다시 말아서 꽂아두면 세척도 어렵고해서 그냥 쓰게 됩니다. 가끔 한번씩은 많이는 아니지만 샐때도 있어요.,3,"['귀엽다', '좋다', '살짝', '떨다', '트렸', '늘다', '겉', '칠이', '벗겨지다', '빨대', '사용', '번거롭다', '자다', '사용', '립스틱', '묻다', '다시', '말다', '꽂다', '두다', '세척', '어렵다', '고해', '그냥', '쓰다', '가끔', '한번', '많다', '아니다', '새다']"
3,25.04.21.,원래 스탠리를 쓰다가 밀폐되는 텀블러가 필요해서 구매했습니다. 빨대가 열려서 세척이 용이하고 뚜껑 부위에 끼울 수 있어서 편리합니다. 다만 물을 많이 마시는 분들은 더 큰 용량을 구매하시기를 추천드립니다. 400ml는 약간 작은 느낌이 있습니다. 디자인도 귀엽고 논슬립 처리가 되어 있어 미끄러지지 않아 편리합니다.,5,"['원래', '스탠리', '쓰다', '밀폐', '텀블러', '필요하다', '구매', '빨대', '열리다', '세척', '용이하다', '뚜껑', '부위', '끼울다', '편리하다', '물', '마시다', '분', '더', '크다', '용량', '구매', '기르다', '추천', '드리다', '늘다', '작다', '느낌', '디자인', '귀엽다', '논', '슬립', '처리', '미끄러지다', '않다', '편리하다']"
4,25.05.04.,"보온 보냉 완벽하고 스트로우도 세척 편리합나다.
텀블러도 손이 쑥 들어가니 세척편리하구요.
디자인까지 예뻐서 좋아요.",5,"['보온', '보냉', '완벽하다', '스트로우', '세척', '편리하다', '텀블러', '손', '쑥', '들어가다', '세척', '편리하다', '디자인', '예쁘다', '좋다']"
5,25.04.05.,"전체적으로 그냥 너무 예뻐요 색이 생각보다 좀 진한 핑크긴 한데 그래도 예쁜 거 같아요
장점은 생각보다 가볍고 물이 하나도 안새요 그리고 무엇보다 설거지하기 좋아요
아주 조금 아쉬운 건 빨대를 꽂은 상태에서 뚜껑이 안 닫혀요(실리콘이라 접어서 넣으면 될 줄 알았는데 안돼요)
텀블러 유목민이었는데 이제 정착했습니다 정말 좋아요",5,"['전체', '그냥', '예쁘다', '색', '생각', '진하다', '핑크', '예쁘다', '장점', '생각', '가볍다', '물이', '새다', '설거지', '좋다', '아주', '아쉽다', '빨대', '꽂다', '상태', '뚜껑', '안', '닫히다', '실리콘', '접다', '넣다', '줄', '알다', '텀블러', '유목민', '이제', '정착', '정말', '좋다']"
6,25.05.02.,홈쇼핑보고 찾아서 샀어요 세지않는 텀블러라 맘에들어요 보온성도 좋습니다 탄탄하게 잘만듣거같아요  빨대가 구성품에 포함되있어서 좋습니다,5,"['홈쇼핑', '보고', '찾다', '사다', '세지', '않다', '텀블러', '맘', '들다', '보온', '성도', '좋다', '탄탄하다', '잘만', '듣다', '빨대', '성품', '포함', '좋다']"
7,25.05.01.,500ml 안되는사이즈라 작을까싶었는데 들고 다니기엔 오히려 이게 딱 좋아요! 같이 샀던 파우치 사진입니다~,5,"['안되다', '사이즈', '작다', '들다', '다니다', '기', '좋다', '사다', '파우치', '사진']"
8,25.05.03.,머그컵만쓰다가 얼음 녹으면 컵에 물생기는게 넘스트레스라 구매하였는데 너무 예뻐요 그리고 너무 가볍고 밀폐도 잘되는거 같아요,5,"['머그컵', '쓰다', '얼음', '녹다', '컵', '물', '생기다', '스트레스', '구매', '예쁘다', '가볍다', '밀폐']"
9,25.04.20.,"유튜브 보고 충동구매 해버렸는데
막 그렇게 맘에 들진 않아요
빨대가 실리콘이라 편한것 같으면서도 뭔가 좀 불편하고
손으로 들고 다니기에는 좀 뚱뚱한 디자인이더라고요
그냥 스벅꺼 살걸...
충동구매한 제 잘못이겠지만
그래도 오래 써보겠습니다!",4,"['유튜브', '보고', '충', '동', '구매', '버리다', '막', '맘', '들다', '않다', '빨대', '실리콘', '편하다', '뭔가', '불편하다', '손', '들다', '다니다', '기', '뚱뚱하다', '디자인', '덥다', '그냥', '스벅꺼', '살걸', '충', '동', '구매', '이겠다', '써다', '보다']"
10,25.04.16.,회사에서 쓰려고 샀는데 아주 잘 쓰고 있습니다. 특히 빨대가 신세계예요 새지 않을까 싶었는데 지금까지 한번도 새지 않고 편하게 아주 잘 쓰고 있습니다. 위생 걱정 없는 다회용 빨대 처음이라 너무 마음에 들어요. 디자인도 동글동글해서 책상 위에 두면 보기만 해도 기분이 좋아집니다.,5,"['회사', '쓰다', '사다', '아주', '자다', '쓰다', '빨대', '신세계', '새다', '않다', '지금', '한번', '새다', '않다', '편하다', '아주', '자다', '쓰다', '위생', '걱정', '없다', '회용', '빨대', '처음', '마음', '들다', '디자인', '동글동글', '책상', '두다', '보기', '해도', '기분', '좋아지다']"
11,25.04.16.,너무나도 귀여운 디자인 ㅎㅎ 옐로 색감이 너무 예뻐요 병아리 노랑~ 화이트도 예뻐요!! 내용물이 안새는지는 테스트 안해봐서 잘모르겠고 빨대없이 마실때 쫄쫄쫄 나와서 약간의 답답함을 느낍니다??,4,"['귀엽다', '디자인', '옐로', '색감', '예쁘다', '병아리', '노랑', '화이트', '예쁘다', '내용물', '새다', '테스트', '해보다', '모르다', '빨대', '말다', '쫄쫄쫄', '나오다', '답답하다', '느끼다']"
13,25.04.23.,보온보냉력은 이미 보장되어있고 용량이 딱 원하던 사이즈입니다. 빨대 꽂아서 먹을수도 있어서 편하고 요즘 카페 갈때 항상 챙겨가며 애용중입니다,5,"['보온', '보냉', '보장', '용량', '원하다', '사이즈', '빨대', '꽂다', '먹다', '편하다', '요즘', '카페', '갈다', '항상', '챙기다', '애용']"
14,25.04.30.,"선물한거라 만족스럽다고는 하는데  
잘  모르겠어요
얼음  큰거  넣을수  있어서  좋은거  같아요",5,"['선물', '만족스럽다', '자다', '모르다', '얼음', '크다', '넣다', '좋다']"
15,25.04.12.,동생 생일선물로 샀는데 마음에 들어해서 만족합니다! 빨대도 있지만 빨대 없이도 편하게 마실 수 있고 바닥 고무가 있는 제품을 원했는데 괜찮은 것 같네요ㅎㅎ,5,"['동생', '생일', '선물', '사다', '마음', '들다', '만족하다', '빨대', '빨대', '없다', '편하다', '말다', '바닥', '고무', '제품', '원하다', '괜찮다']"
16,25.05.04.,아들 딸드에게 선물해줬는데 모두 좋아하니 저도 아주 좋았어요,5,"['아들', '딸드', '선물', '해주다', '좋아하다', '아주', '좋다']"
17,25.04.30.,"색상 크기 마음에 들어요
온도도 적당하게 오래 갑니다",5,"['색상', '크기', '마음', '들다', '온도', '적당하다']"
